#	Isochrone	Z = 0.01900		Age = 	6.310e+07 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	7.80	4.12938833	4.1277	2.4912	4.1559	4.1323	-1.458	-1.044	-0.517	-0.377	-0.322	-0.239	-0.052	0.007	0.049	-0.10919946
	7.80	4.50000000	4.4977	2.6551	4.1752	4.0827	-1.868	-1.393	-0.819	-0.671	-0.611	-0.522	-0.322	-0.261	-0.213	-0.09723650
	7.80	4.58184862	4.5793	2.6902	4.1790	4.0708	-1.955	-1.468	-0.887	-0.736	-0.675	-0.585	-0.382	-0.321	-0.271	-0.09489891
	7.80	4.92099380	4.9176	2.8348	4.1927	4.0115	-2.317	-1.790	-1.181	-1.020	-0.954	-0.864	-0.647	-0.586	-0.531	-0.08617771
	7.80	5.00000000	4.9964	2.8687	4.1952	3.9949	-2.402	-1.867	-1.253	-1.090	-1.023	-0.933	-0.713	-0.653	-0.596	-0.08434449
	7.80	5.21494246	5.2106	2.9590	4.2012	3.9467	-2.627	-2.077	-1.450	-1.281	-1.212	-1.123	-0.896	-0.836	-0.777	-0.07968551
	7.80	5.45075369	5.4455	3.0596	4.2051	3.8811	-2.879	-2.321	-1.682	-1.510	-1.440	-1.349	-1.119	-1.059	-0.999	-0.07506714
	7.80	5.65030956	5.6440	3.1468	4.2056	3.8111	-3.097	-2.543	-1.899	-1.725	-1.655	-1.565	-1.334	-1.274	-1.214	-0.07151032
	7.80	5.81936693	5.8120	3.2233	4.2028	3.7364	-3.288	-2.750	-2.107	-1.933	-1.864	-1.774	-1.545	-1.485	-1.426	-0.06872013
	7.80	5.96314573	5.9547	3.2909	4.1970	3.6558	-3.457	-2.944	-2.309	-2.137	-2.070	-1.982	-1.758	-1.698	-1.641	-0.06649277
	7.80	6.00000000	5.9912	3.3090	4.1944	3.6302	-3.503	-3.000	-2.368	-2.198	-2.131	-2.044	-1.822	-1.762	-1.706	-0.06594199
	7.80	6.09251070	6.0829	3.3531	4.1880	3.5668	-3.613	-3.136	-2.514	-2.347	-2.283	-2.198	-1.981	-1.921	-1.867	-0.06459386
	7.80	6.19850636	6.1877	3.4060	4.1767	3.4762	-3.745	-3.312	-2.709	-2.549	-2.489	-2.408	-2.198	-2.139	-2.088	-0.06310717
	7.80	6.24484444	6.2334	3.4304	4.1708	3.4314	-3.806	-3.396	-2.802	-2.644	-2.586	-2.506	-2.301	-2.244	-2.193	-0.06247583
	7.80	6.28709555	6.2751	3.4542	4.1657	3.3903	-3.865	-3.476	-2.888	-2.732	-2.677	-2.596	-2.396	-2.341	-2.290	-0.06190969
	7.80	6.31756020	6.3051	3.4736	4.1642	3.3669	-3.914	-3.531	-2.945	-2.789	-2.734	-2.654	-2.455	-2.401	-2.350	-0.06150700
